,tpid,tp_name,genename1,genename2,tp_moatype,tp_tcrd_tdl,gosemsinbp,gosemsincc,gosemsinmf,tp_keggpathways_no,tp_reactomepathways_no,tp_wikipathways_no,tp_associateddrugs_no,tp_associateddiseases_no,dcid,dc_name,dc_sourcetype,fdid,fd_name,md_name,maxphase
2777,TP00845,EGFR;ERBB3,EGFR,ERBB3,CIT+CIT,Tclin+Tclin,0.584,0.616,0.746,7,0,4,11,7,DC01358,Istiratumab;MM151,DrugComb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 1
2778,TP00845,EGFR;ERBB3,EGFR,ERBB3,CIT+CIT,Tclin+Tclin,0.584,0.616,0.746,7,0,4,11,7,DC01358,Istiratumab;MM151,DrugComb,FD00018,Head and Neck Cancer,Head and Neck Cancer,Phase 1
2779,TP00845,EGFR;ERBB3,EGFR,ERBB3,CIT+CIT,Tclin+Tclin,0.584,0.616,0.746,7,0,4,11,7,DC01358,Istiratumab;MM151,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
2786,TP00845,EGFR;ERBB3,EGFR,ERBB3,CIT+CIT,Tclin+Tclin,0.584,0.616,0.746,7,0,4,11,7,DC00756,Cetuximab;Seribantumab,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 1
2793,TP00845,EGFR;ERBB3,EGFR,ERBB3,CIT+CIT,Tclin+Tclin,0.584,0.616,0.746,7,0,4,11,7,DC02153,Izalontamab,BsAb,FD00014,Esophageal Cancer,Esophageal Cancer,Phase 2
2796,TP00845,EGFR;ERBB3,EGFR,ERBB3,CIT+CIT,Tclin+Tclin,0.584,0.616,0.746,7,0,4,11,7,DC02153,Izalontamab,BsAb,FD00033,Other Cancer,Other Cancer,Phase 1
2799,TP00845,EGFR;ERBB3,EGFR,ERBB3,CIT+CIT,Tclin+Tclin,0.584,0.616,0.746,7,0,4,11,7,DC02046,BLB01D1,BsAb,FD00041,Stomach Cancer,Stomach Cancer,Phase 1
2801,TP00846,EGFR;ESR1,EGFR,ESR1,CIT+CIT,Tclin+Tclin,0.53,0.693,0.602,6,5,6,3,2,DC01042,Erlotinib;Fulvestrant,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 2
2803,TP00846,EGFR;ESR1,EGFR,ESR1,CIT+CIT,Tclin+Tclin,0.53,0.693,0.602,6,5,6,3,2,DC01223,Gefitinib;Tamoxifen,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 2
2804,TP00847,EGFR;ESR2,EGFR,ESR2,CIT+CIT,Tclin+Tclin,0.431,0.414,0.54,5,4,3,3,2,DC01157,Fulvestrant;Gefitinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 2
2805,TP00847,EGFR;ESR2,EGFR,ESR2,CIT+CIT,Tclin+Tclin,0.431,0.414,0.54,5,4,3,3,2,DC01223,Gefitinib;Tamoxifen,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 2
2807,TP00848,EGFR;FCGR1A,EGFR,FCGR1A,CET+CIT,Tclin+Tclin,0.385,0.603,0.545,0,0,0,1,1,DC02189,MDX447,BsAb,FD00017,Glioma,Glioma,Phase 1
2808,TP00849,EGFR;FCGR3A,EGFR,FCGR3A,CET+CIT,Tclin+Tclin,0.275,0.536,0.547,0,0,0,1,3,DC02006,AFM24,BsAb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 1|Phase 2
2809,TP00849,EGFR;FCGR3A,EGFR,FCGR3A,CET+CIT,Tclin+Tclin,0.275,0.536,0.547,0,0,0,1,3,DC02006,AFM24,BsAb,FD00018,Head and Neck Cancer,Head and Neck Cancer,Phase 1|Phase 2
2810,TP00849,EGFR;FCGR3A,EGFR,FCGR3A,CET+CIT,Tclin+Tclin,0.275,0.536,0.547,0,0,0,1,3,DC02006,AFM24,BsAb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
2811,TP00850,EGFR;FLT1,EGFR,FLT1,CET+CIT,Tclin+Tclin,0.617,0.716,0.743,7,0,9,3,2,DC01049,Erlotinib;Linifanib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
2812,TP00850,EGFR;FLT1,EGFR,FLT1,CET+CIT,Tclin+Tclin,0.617,0.716,0.743,7,0,9,3,2,DC01080,Erlotinib;Tivozanib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
2814,TP00851,EGFR;FLT3,EGFR,FLT3,CIT+CIT,Tclin+Tclin,0.587,0.724,0.748,5,4,7,2,1,DC01504,MRX2843;Osimertinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
2816,TP00852,EGFR;FLT4,EGFR,FLT4,CET+CIT,Tclin+Tclin,0.625,0.642,0.76,8,0,8,3,2,DC01151,Fruquintinib;Gefitinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 2
2818,TP00852,EGFR;FLT4,EGFR,FLT4,CET+CIT,Tclin+Tclin,0.625,0.642,0.76,8,0,8,3,2,DC01049,Erlotinib;Linifanib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
2819,TP00853,EGFR;FNTB,EGFR,FNTB,CIT+CIT,Tclin+Tclin,0.16,0.39,0.483,0,0,0,1,1,DC01644,Osimertinib;Tipifarnib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
2820,TP00854,EGFR;GLS2,EGFR,GLS2,CIT+CIT,Tchem+Tclin,0.198,0.345,0.449,2,0,1,1,1,DC01640,Osimertinib;Telaglenastat,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
2821,TP00855,EGFR;GPRC5D,EGFR,GPRC5D,CIT+CIT,Tbio+Tclin,0.348,0.591,0.524,0,0,1,1,3,DC01493,MM151;Talquetamab,DrugComb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 1
2822,TP00855,EGFR;GPRC5D,EGFR,GPRC5D,CIT+CIT,Tbio+Tclin,0.348,0.591,0.524,0,0,1,1,3,DC01493,MM151;Talquetamab,DrugComb,FD00018,Head and Neck Cancer,Head and Neck Cancer,Phase 1
2823,TP00855,EGFR;GPRC5D,EGFR,GPRC5D,CIT+CIT,Tbio+Tclin,0.348,0.591,0.524,0,0,1,1,3,DC01493,MM151;Talquetamab,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
2824,TP00856,EGFR;GSAP,EGFR,GSAP,CIT+CIT,Tchem+Tclin,0.163,0.716,0.455,0,0,0,1,1,DC01071,Erlotinib;RO4929097,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
2825,TP00857,EGFR;HDAC1,EGFR,HDAC1,CIT+CIT,Tclin+Tclin,0.509,0.541,0.561,3,0,2,6,2,DC01386,Lapatinib;Vorinostat,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 1|Phase 2
2826,TP00857,EGFR;HDAC1,EGFR,HDAC1,CIT+CIT,Tclin+Tclin,0.509,0.541,0.561,3,0,2,6,2,DC01226,Gefitinib;Vorinostat,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
2831,TP00858,EGFR;HDAC10,EGFR,HDAC10,CIT+CIT,Tclin+Tclin,0.268,0.486,0.497,0,0,0,4,2,DC01386,Lapatinib;Vorinostat,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 1|Phase 2
2832,TP00858,EGFR;HDAC10,EGFR,HDAC10,CIT+CIT,Tclin+Tclin,0.268,0.486,0.497,0,0,0,4,2,DC01061,Erlotinib;Panobinostat,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
2835,TP00859,EGFR;HDAC11,EGFR,HDAC11,CIT+CIT,Tclin+Tclin,0.178,0.507,0.467,0,0,1,1,1,DC01061,Erlotinib;Panobinostat,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
2836,TP00860,EGFR;HDAC2,EGFR,HDAC2,CIT+CIT,Tclin+Tclin,0.506,0.534,0.581,3,0,2,6,2,DC01386,Lapatinib;Vorinostat,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 1|Phase 2
2837,TP00860,EGFR;HDAC2,EGFR,HDAC2,CIT+CIT,Tclin+Tclin,0.506,0.534,0.581,3,0,2,6,2,DC00996,Entinostat;Erlotinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 2
2842,TP00861,EGFR;HDAC3,EGFR,HDAC3,CIT+CIT,Tclin+Tclin,0.438,0.631,0.568,0,1,1,6,2,DC01386,Lapatinib;Vorinostat,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 1|Phase 2
2843,TP00861,EGFR;HDAC3,EGFR,HDAC3,CIT+CIT,Tclin+Tclin,0.438,0.631,0.568,0,1,1,6,2,DC00996,Entinostat;Erlotinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 2
2848,TP00862,EGFR;HDAC4,EGFR,HDAC4,CIT+CIT,Tclin+Tclin,0.416,0.521,0.537,1,0,1,4,2,DC01386,Lapatinib;Vorinostat,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 1|Phase 2
2849,TP00862,EGFR;HDAC4,EGFR,HDAC4,CIT+CIT,Tclin+Tclin,0.416,0.521,0.537,1,0,1,4,2,DC01061,Erlotinib;Panobinostat,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
2852,TP00863,EGFR;HDAC5,EGFR,HDAC5,CIT+CIT,Tclin+Tclin,0.314,0.524,0.546,1,0,1,4,2,DC01386,Lapatinib;Vorinostat,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 1|Phase 2
2853,TP00863,EGFR;HDAC5,EGFR,HDAC5,CIT+CIT,Tclin+Tclin,0.314,0.524,0.546,1,0,1,4,2,DC01084,Erlotinib;Vorinostat,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
2856,TP00864,EGFR;HDAC6,EGFR,HDAC6,CIT+CIT,Tclin+Tclin,0.412,0.581,0.583,0,0,1,5,2,DC01386,Lapatinib;Vorinostat,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 1|Phase 2
2857,TP00864,EGFR;HDAC6,EGFR,HDAC6,CIT+CIT,Tclin+Tclin,0.412,0.581,0.583,0,0,1,5,2,DC00413,Belinostat;Erlotinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
2861,TP00865,EGFR;HDAC7,EGFR,HDAC7,CIT+CIT,Tclin+Tclin,0.338,0.497,0.545,0,0,1,4,2,DC01386,Lapatinib;Vorinostat,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 1|Phase 2
2862,TP00865,EGFR;HDAC7,EGFR,HDAC7,CIT+CIT,Tclin+Tclin,0.338,0.497,0.545,0,0,1,4,2,DC01061,Erlotinib;Panobinostat,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
2865,TP00866,EGFR;HDAC8,EGFR,HDAC8,CIT+CIT,Tclin+Tclin,0.226,0.598,0.477,0,0,0,6,2,DC01386,Lapatinib;Vorinostat,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 1|Phase 2
2866,TP00866,EGFR;HDAC8,EGFR,HDAC8,CIT+CIT,Tclin+Tclin,0.226,0.598,0.477,0,0,0,6,2,DC01084,Erlotinib;Vorinostat,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
2871,TP00867,EGFR;HDAC9,EGFR,HDAC9,CIT+CIT,Tclin+Tclin,0.316,0.522,0.496,0,0,1,4,2,DC01386,Lapatinib;Vorinostat,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 1|Phase 2
2872,TP00867,EGFR;HDAC9,EGFR,HDAC9,CIT+CIT,Tclin+Tclin,0.316,0.522,0.496,0,0,1,4,2,DC01226,Gefitinib;Vorinostat,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
2875,TP00868,EGFR;HGF,EGFR,HGF,CET+CIT,Tchem+Tclin,0.559,0.524,0.508,14,4,9,4,3,DC01503,MP0250;Osimertinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
2877,TP00868,EGFR;HGF,EGFR,HGF,CET+CIT,Tchem+Tclin,0.559,0.524,0.508,14,4,9,4,3,DC01667,Panitumumab;Rilotumumab,DrugComb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 1|Phase 2
2878,TP00868,EGFR;HGF,EGFR,HGF,CET+CIT,Tchem+Tclin,0.559,0.524,0.508,14,4,9,4,3,DC01667,Panitumumab;Rilotumumab,DrugComb,FD00041,Stomach Cancer,Stomach Cancer,Phase 1|Phase 2
2880,TP00869,EGFR;HLA-G,EGFR,HLA-G,CET+CIT,Tbio+Tclin,0.281,0.715,0.512,3,0,2,1,1,DC00763,Cetuximab;TTX080,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
2881,TP00870,EGFR;HSP90AA1,EGFR,HSP90AA1,CIT+CIT,Tchem+Tclin,0.416,0.689,0.646,5,8,8,2,1,DC01051,Erlotinib;Luminespib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
2883,TP00871,EGFR;HSP90AB1,EGFR,HSP90AB1,CIT+CIT,Tchem+Tclin,0.485,0.722,0.666,5,0,4,2,1,DC01051,Erlotinib;Luminespib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
2885,TP00872,EGFR;IGF1,EGFR,IGF1,CIT+CIT,Tbio+Tclin,0.586,0.528,0.476,15,0,10,1,1,DC00103,Afatinib;Xentuzumab,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
2886,TP00873,EGFR;IGF1R,EGFR,IGF1R,CIT+CIT,Tclin+Tclin,0.624,0.696,0.736,18,2,14,10,4,DC01358,Istiratumab;MM151,DrugComb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 1
2887,TP00873,EGFR;IGF1R,EGFR,IGF1R,CIT+CIT,Tclin+Tclin,0.624,0.696,0.736,18,2,14,10,4,DC01358,Istiratumab;MM151,DrugComb,FD00018,Head and Neck Cancer,Head and Neck Cancer,Phase 1
2888,TP00873,EGFR;IGF1R,EGFR,IGF1R,CIT+CIT,Tclin+Tclin,0.624,0.696,0.736,18,2,14,10,4,DC01358,Istiratumab;MM151,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
2896,TP00873,EGFR;IGF1R,EGFR,IGF1R,CIT+CIT,Tclin+Tclin,0.624,0.696,0.736,18,2,14,10,4,DC01204,Ganitumab;Panitumumab,DrugComb,FD00041,Stomach Cancer,Stomach Cancer,Phase 1|Phase 2
2900,TP00874,EGFR;IGF2,EGFR,IGF2,CIT+CIT,Tbio+Tclin,0.578,0.428,0.476,6,0,4,1,1,DC00103,Afatinib;Xentuzumab,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
2901,TP00875,EGFR;IL15,EGFR,IL15,CET+CIT,Tchem+Tclin,0.47,0.636,0.469,2,0,1,1,1,DC00744,Cetuximab;Nanrilkefusp Alfa,DrugComb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 2
2902,TP00876,EGFR;IL15RA,EGFR,IL15RA,CET+CIT,Tbio+Tclin,0.226,0.747,0.538,2,0,2,1,1,DC00747,Cetuximab;NKTR255,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1|Phase 2
2903,TP00877,EGFR;ITGA5,EGFR,ITGA5,CET+CIT,Tbio+Tclin,0.523,0.719,0.507,7,1,6,1,1,DC01083,Erlotinib;Volociximab,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 2
2904,TP00878,EGFR;ITGAV,EGFR,ITGAV,CIT+CIT,Tchem+Tclin,0.509,0.707,0.568,7,1,7,1,1,DC00092,Afatinib;Intetumumab,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
2905,TP00879,EGFR;ITGB3,EGFR,ITGB3,CIT+CIT,Tclin+Tclin,0.511,0.745,0.63,8,1,7,1,1,DC00092,Afatinib;Intetumumab,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
2906,TP00880,EGFR;JAK1,EGFR,JAK1,CIT+CIT,Tclin+Tclin,0.459,0.686,0.726,10,1,10,5,1,DC01359,Itacitinib;Osimertinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
2911,TP00881,EGFR;JAK2,EGFR,JAK2,CIT+CIT,Tclin+Tclin,0.56,0.687,0.71,6,1,11,3,1,DC01060,Erlotinib;Pacritinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
2914,TP00882,EGFR;KDR,EGFR,KDR,CET+CIT,Tclin+Tclin,0.625,0.793,0.774,8,0,11,11,3,DC01041,Erlotinib;Foretinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
2915,TP00882,EGFR;KDR,EGFR,KDR,CET+CIT,Tclin+Tclin,0.625,0.793,0.774,8,0,11,11,3,DC01148,Foretinib;Lapatinib,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 1|Phase 2
2918,TP00882,EGFR;KDR,EGFR,KDR,CET+CIT,Tclin+Tclin,0.625,0.793,0.774,8,0,11,11,3,DC01049,Erlotinib;Linifanib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
2925,TP00883,EGFR;KLRC1,EGFR,KLRC1,CET+CIT,Tbio+Tclin,0.289,0.508,0.545,0,0,0,1,1,DC00742,Cetuximab;Monalizumab,DrugComb,FD00018,Head and Neck Cancer,Head and Neck Cancer,Phase 3
2926,TP00884,EGFR;KRAS,EGFR,KRAS,CIT+CIT,Tclin+Tclin,0.49,0.698,0.461,37,0,23,11,4,DC00740,Cetuximab;LY3499446,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
2928,TP00884,EGFR;KRAS,EGFR,KRAS,CIT+CIT,Tclin+Tclin,0.49,0.698,0.461,37,0,23,11,4,DC00737,Cetuximab;JAB21822,DrugComb,FD00003,Appendix Cancer,Other Cancer,Phase 1|Phase 2
2929,TP00884,EGFR;KRAS,EGFR,KRAS,CIT+CIT,Tclin+Tclin,0.49,0.698,0.461,37,0,23,11,4,DC00737,Cetuximab;JAB21822,DrugComb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 1|Phase 2
2930,TP00884,EGFR;KRAS,EGFR,KRAS,CIT+CIT,Tclin+Tclin,0.49,0.698,0.461,37,0,23,11,4,DC00737,Cetuximab;JAB21822,DrugComb,FD00039,Small Intestine Cancer,Other Cancer,Phase 1|Phase 2
2940,TP00885,EGFR;LGR5,EGFR,LGR5,CIT+CIT,Tbio+Tclin,0.42,0.579,0.556,0,0,1,1,4,DC02188,MCLA158,BsAb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 1|Phase 2
2941,TP00885,EGFR;LGR5,EGFR,LGR5,CIT+CIT,Tbio+Tclin,0.42,0.579,0.556,0,0,1,1,4,DC02188,MCLA158,BsAb,FD00018,Head and Neck Cancer,Head and Neck Cancer,Phase 1|Phase 2
2942,TP00885,EGFR;LGR5,EGFR,LGR5,CIT+CIT,Tbio+Tclin,0.42,0.579,0.556,0,0,1,1,4,DC02188,MCLA158,BsAb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
2943,TP00885,EGFR;LGR5,EGFR,LGR5,CIT+CIT,Tbio+Tclin,0.42,0.579,0.556,0,0,1,1,4,DC02188,MCLA158,BsAb,FD00041,Stomach Cancer,Stomach Cancer,Phase 1|Phase 2
2944,TP00886,EGFR;MAP2K1,EGFR,MAP2K1,CIT+CIT,Tclin+Tclin,0.587,0.689,0.699,41,1,25,13,4,DC01384,Lapatinib;Trametinib,DrugComb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 1|Phase 2
2945,TP00886,EGFR;MAP2K1,EGFR,MAP2K1,CIT+CIT,Tclin+Tclin,0.587,0.689,0.699,41,1,25,13,4,DC01440,Lifirafenib;Mirdametinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
2946,TP00886,EGFR;MAP2K1,EGFR,MAP2K1,CIT+CIT,Tclin+Tclin,0.587,0.689,0.699,41,1,25,13,4,DC01081,Erlotinib;Trametinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
2952,TP00886,EGFR;MAP2K1,EGFR,MAP2K1,CIT+CIT,Tclin+Tclin,0.587,0.689,0.699,41,1,25,13,4,DC01494,MM151;Trametinib,DrugComb,FD00018,Head and Neck Cancer,Head and Neck Cancer,Phase 1
2960,TP00887,EGFR;MAP2K2,EGFR,MAP2K2,CIT+CIT,Tclin+Tclin,0.487,0.675,0.687,38,1,20,13,4,DC01440,Lifirafenib;Mirdametinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
2961,TP00887,EGFR;MAP2K2,EGFR,MAP2K2,CIT+CIT,Tclin+Tclin,0.487,0.675,0.687,38,1,20,13,4,DC01384,Lapatinib;Trametinib,DrugComb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 1|Phase 2
2962,TP00887,EGFR;MAP2K2,EGFR,MAP2K2,CIT+CIT,Tclin+Tclin,0.487,0.675,0.687,38,1,20,13,4,DC01081,Erlotinib;Trametinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
2967,TP00887,EGFR;MAP2K2,EGFR,MAP2K2,CIT+CIT,Tclin+Tclin,0.487,0.675,0.687,38,1,20,13,4,DC01494,MM151;Trametinib,DrugComb,FD00018,Head and Neck Cancer,Head and Neck Cancer,Phase 1
2976,TP00888,EGFR;MAPK1,EGFR,MAPK1,CIT+CIT,Tchem+Tclin,0.57,0.695,0.73,44,4,34,1,1,DC01034,ERAS007;Osimertinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
2977,TP00889,EGFR;MAPK3,EGFR,MAPK3,CIT+CIT,Tchem+Tclin,0.591,0.704,0.707,44,4,29,1,1,DC01034,ERAS007;Osimertinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
2978,TP00890,EGFR;MERTK,EGFR,MERTK,CIT+CIT,Tchem+Tclin,0.517,0.64,0.723,0,0,1,1,1,DC01504,MRX2843;Osimertinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
2979,TP00891,EGFR;MET,EGFR,MET,CIT+CIT,Tclin+Tclin,0.569,0.617,0.801,18,4,13,31,8,DC01041,Erlotinib;Foretinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
2980,TP00891,EGFR;MET,EGFR,MET,CIT+CIT,Tclin+Tclin,0.569,0.617,0.801,18,4,13,31,8,DC01148,Foretinib;Lapatinib,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 1|Phase 2
2988,TP00891,EGFR;MET,EGFR,MET,CIT+CIT,Tclin+Tclin,0.569,0.617,0.801,18,4,13,31,8,DC00654,Capmatinib;Cetuximab,DrugComb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 1
2989,TP00891,EGFR;MET,EGFR,MET,CIT+CIT,Tclin+Tclin,0.569,0.617,0.801,18,4,13,31,8,DC00654,Capmatinib;Cetuximab,DrugComb,FD00018,Head and Neck Cancer,Head and Neck Cancer,Phase 1
3006,TP00891,EGFR;MET,EGFR,MET,CIT+CIT,Tclin+Tclin,0.569,0.617,0.801,18,4,13,31,8,DC02186,MCLA129,BsAb,FD00014,Esophageal Cancer,Esophageal Cancer,Phase 1|Phase 2
3009,TP00891,EGFR;MET,EGFR,MET,CIT+CIT,Tclin+Tclin,0.569,0.617,0.801,18,4,13,31,8,DC02186,MCLA129,BsAb,FD00041,Stomach Cancer,Stomach Cancer,Phase 1|Phase 2
3010,TP00891,EGFR;MET,EGFR,MET,CIT+CIT,Tclin+Tclin,0.569,0.617,0.801,18,4,13,31,8,DC02179,LY3164530,BsAb,FD00033,Other Cancer,Other Cancer,Phase 1
3016,TP00891,EGFR;MET,EGFR,MET,CIT+CIT,Tclin+Tclin,0.569,0.617,0.801,18,4,13,31,8,DC02019,Amivantamab,BsAb,FD00022,Liver Cancer,Liver Cancer,Phase 2
3024,TP00892,EGFR;MTOR,EGFR,MTOR,CIT+CIT,Tclin+Tclin,0.502,0.66,0.695,24,1,18,14,7,DC01383,Lapatinib;Sirolimus,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
3025,TP00892,EGFR;MTOR,EGFR,MTOR,CIT+CIT,Tclin+Tclin,0.502,0.66,0.695,24,1,18,14,7,DC01085,Erlotinib;Voxtalisib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
3026,TP00892,EGFR;MTOR,EGFR,MTOR,CIT+CIT,Tclin+Tclin,0.502,0.66,0.695,24,1,18,14,7,DC00087,AEE788;Everolimus,DrugComb,FD00017,Glioma,Glioma,Phase 1|Phase 2
3029,TP00892,EGFR;MTOR,EGFR,MTOR,CIT+CIT,Tclin+Tclin,0.502,0.66,0.695,24,1,18,14,7,DC01075,Erlotinib;Sirolimus,DrugComb,FD00015,Germ Cell Tumor,Other Cancer,Phase 2
3032,TP00892,EGFR;MTOR,EGFR,MTOR,CIT+CIT,Tclin+Tclin,0.502,0.66,0.695,24,1,18,14,7,DC01039,Erlotinib;Everolimus,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 1
3033,TP00892,EGFR;MTOR,EGFR,MTOR,CIT+CIT,Tclin+Tclin,0.502,0.66,0.695,24,1,18,14,7,DC01039,Erlotinib;Everolimus,DrugComb,FD00018,Head and Neck Cancer,Head and Neck Cancer,Phase 2
3035,TP00892,EGFR;MTOR,EGFR,MTOR,CIT+CIT,Tclin+Tclin,0.502,0.66,0.695,24,1,18,14,7,DC00759,Cetuximab;Temsirolimus,DrugComb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 1
3041,TP00893,EGFR;MUC1,EGFR,MUC1,CIT+CIT,Tchem+Tclin,0.285,0.62,0.49,0,0,0,1,2,DC02181,M1231,BsAb,FD00014,Esophageal Cancer,Esophageal Cancer,Phase 1
3042,TP00893,EGFR;MUC1,EGFR,MUC1,CIT+CIT,Tchem+Tclin,0.285,0.62,0.49,0,0,0,1,2,DC02181,M1231,BsAb,FD00023,Lung Cancer,Lung Cancer,Phase 1
3043,TP00894,EGFR;NT5E,EGFR,NT5E,CIT+CIT,Tchem+Tclin,0.187,0.616,0.464,0,0,0,1,1,DC01620,Oleclumab;Osimertinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
3044,TP00895,EGFR;PARP1,EGFR,PARP1,CIT+CIT,Tclin+Tclin,0.469,0.614,0.597,0,0,1,3,2,DC01551,Niraparib;Osimertinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
3045,TP00895,EGFR;PARP1,EGFR,PARP1,CIT+CIT,Tclin+Tclin,0.469,0.614,0.597,0,0,1,3,2,DC01552,Niraparib;Panitumumab,DrugComb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 2
3047,TP00896,EGFR;PARP2,EGFR,PARP2,CIT+CIT,Tclin+Tclin,0.315,0.382,0.561,0,0,0,3,2,DC01552,Niraparib;Panitumumab,DrugComb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 2
3048,TP00896,EGFR;PARP2,EGFR,PARP2,CIT+CIT,Tclin+Tclin,0.315,0.382,0.561,0,0,0,3,2,DC01551,Niraparib;Osimertinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
3050,TP00897,EGFR;PDCD1,EGFR,PDCD1,CET+CIT,Tclin+Tclin,0.266,0.424,1.0,1,0,1,19,5,DC00403,BCA101;Pembrolizumab,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
3051,TP00897,EGFR;PDCD1,EGFR,PDCD1,CET+CIT,Tclin+Tclin,0.266,0.424,1.0,1,0,1,19,5,DC01367,Izalontamab;SI-B003,DrugComb,FD00018,Head and Neck Cancer,Head and Neck Cancer,Phase 1|Phase 2
