dcid	dc_name	dc_sourcetype	fdid	fd_name	md_name	maxphase
DC01183	Fulvestrant;Tipifarnib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC01184	Fulvestrant;TQ-B3525	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC01185	Fulvestrant;TQB3616	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 3
DC01186	Fulvestrant;Trastuzumab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC01187	Fulvestrant;Trastuzumab Deruxtecan	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC01188	Fulvestrant;Tucidinostat	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC01189	Fulvestrant;Vandetanib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC01189	Fulvestrant;Vandetanib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC01190	Fulvestrant;Veligrotug	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC01191	Fulvestrant;Venetoclax	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC01192	Fulvestrant;Vevorisertib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC01193	Fulvestrant;Vistusertib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC01193	Fulvestrant;Vistusertib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC01194	Fulvestrant;XL102	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC01195	Fulvestrant;XZP3287	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 3
DC01196	Futibatinib;Zimberelimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC01197	Fuzuloparib;Retlirafusp Alfa	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC01198	Fuzuloparib;Rivoceranib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC01198	Fuzuloparib;Rivoceranib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC01198	Fuzuloparib;Rivoceranib	DrugComb	FD00034	Ovarian Cancer	Ovarian Cancer	Phase 1
DC01199	Galunisertib;Nivolumab	DrugComb	FD00022	Liver Cancer	Liver Cancer	Phase 1|Phase 2
DC01199	Galunisertib;Nivolumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01200	Galunisertib;Ramucirumab	DrugComb	FD00022	Liver Cancer	Liver Cancer	Phase 2
DC01201	Galunisertib;Sorafenib	DrugComb	FD00022	Liver Cancer	Liver Cancer	Phase 2
DC01202	Gancotamab;Trastuzumab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2|Phase 3
DC01203	Ganetespib;Sirolimus	DrugComb	FD00040	Soft Tissue Sarcoma	Other Cancer	Phase 1|Phase 2
DC01204	Ganitumab;Panitumumab	DrugComb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 1|Phase 2
DC01204	Ganitumab;Panitumumab	DrugComb	FD00041	Stomach Cancer	Stomach Cancer	Phase 1|Phase 2
DC01205	Ganitumab;Trastuzumab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC01206	Garivulimab;Tislelizumab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC01207	Garsorasib;Ifebemtinib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC01208	GDC1971;Osimertinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC01209	Gedatolisib;Mirdametinib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC01210	Gedatolisib;Palbociclib	DrugComb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 1
DC01210	Gedatolisib;Palbociclib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC01210	Gedatolisib;Palbociclib	DrugComb	FD00035	Pancreatic Cancer	Pancreatic Cancer	Phase 1
DC01211	Gedatolisib;Talazoparib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC01212	Gefitinib;MK2206	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC01213	Gefitinib;Nazartinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC01214	Gefitinib;Nimotuzumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC01215	Gefitinib;Ningetinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01216	Gefitinib;Olaparib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01217	Gefitinib;Osimertinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC01218	Gefitinib;Osimertinib;Ramucirumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 3
DC01219	Gefitinib;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01220	Gefitinib;Rivoceranib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC01221	Gefitinib;Savolitinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC01222	Gefitinib;Selumetinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01223	Gefitinib;Tamoxifen	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC01224	Gefitinib;Tepotinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01225	Gefitinib;Tremelimumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC01226	Gefitinib;Vorinostat	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01227	Gemtuzumab Ozogamicin;Zosuquidar	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1|Phase 2
DC01228	GFH018;Toripalimab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC01229	GI101;Lenvatinib	DrugComb	FD00006	Bladder Cancer	Bladder Cancer	Phase 1|Phase 2
DC01229	GI101;Lenvatinib	DrugComb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 1|Phase 2
DC01229	GI101;Lenvatinib	DrugComb	FD00020	Kidney Cancer	Kidney Cancer	Phase 1|Phase 2
DC01229	GI101;Lenvatinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01229	GI101;Lenvatinib	DrugComb	FD00026	Melanoma	Melanoma	Phase 1|Phase 2
DC01229	GI101;Lenvatinib	DrugComb	FD00040	Soft Tissue Sarcoma	Other Cancer	Phase 1|Phase 2
DC01230	GI101;Pembrolizumab	DrugComb	FD00006	Bladder Cancer	Bladder Cancer	Phase 1|Phase 2
DC01230	GI101;Pembrolizumab	DrugComb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 1|Phase 2
DC01230	GI101;Pembrolizumab	DrugComb	FD00020	Kidney Cancer	Kidney Cancer	Phase 1|Phase 2
DC01230	GI101;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01230	GI101;Pembrolizumab	DrugComb	FD00026	Melanoma	Melanoma	Phase 1|Phase 2
DC01230	GI101;Pembrolizumab	DrugComb	FD00040	Soft Tissue Sarcoma	Other Cancer	Phase 1|Phase 2
DC01231	Giloralimab;Revdofilimab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC01231	Giloralimab;Revdofilimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC01232	Gilteritinib;Lanraplenib	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1|Phase 2
DC01233	Gilteritinib;Midostaurin	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 3
DC01233	Gilteritinib;Midostaurin	DrugComb	FD00030	Myeloma	Hematologic Malignancy	Phase 3
DC01234	Gilteritinib;Venetoclax	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC01235	Giredestrant;Inavolisib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC01236	Giredestrant;Ipatasertib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC01237	Giredestrant;Palbociclib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC01238	Giredestrant;Ribociclib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC01239	Giredestrant;Samuraciclib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC01240	Glesatinib;Nivolumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC01241	GLS012;Zimberelimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01242	Golcadomide;Ianalumab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC01243	Golcadomide;Obinutuzumab	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC01243	Golcadomide;Obinutuzumab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC01244	Golidocitinib;Osimertinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01245	Golidocitinib;Sintilimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC01246	Goserelin;Letrozole;Palbociclib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC01247	Goserelin;Letrozole;Ribociclib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 3
DC01248	Goserelin;Palbociclib;Tamoxifen	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 3
DC01249	Goserelin;Ribociclib;Tamoxifen	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 3
DC01250	Goserelin;Tamoxifen	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 3
DC01251	Gotistobart;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01252	GS1811;Zimberelimab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC01253	GSK2256098;Trametinib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC01254	GSK2636771;Pembrolizumab	DrugComb	FD00026	Melanoma	Melanoma	Phase 1|Phase 2
DC01255	GSK3145095;Pembrolizumab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 2
DC01256	GSK3174998;Pembrolizumab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC01257	GT103;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC01258	Gumarontinib;Toripalimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01259	H3B6545;Palbociclib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC01260	HFB200301;Tislelizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC01261	HFB200603;Tislelizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC01262	HLX04;Serplulimab	DrugComb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 2|Phase 3
DC01262	HLX04;Serplulimab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC01263	HLX208;Serplulimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01264	HLX26;Serplulimab	DrugComb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 2
DC01264	HLX26;Serplulimab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC01265	HMBD002;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC01266	HS10241;Rivoceranib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC01267	Ianalumab;Lenalidomide	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC01268	Iberdomide;Lenalidomide;Tafasitamab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1|Phase 2
DC01269	Iberdomide;Tafasitamab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1|Phase 2
DC01270	IBI110;Sintilimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC01271	IBI318;Lenvatinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC01272	IBI351;Sintilimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC01273	Ibritumomab Tiuxetan;Rituximab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 2
DC01274	Ibrutinib;Ibrutinib;Venetoclax	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 3
DC01274	Ibrutinib;Ibrutinib;Venetoclax	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 3
DC01275	Ibrutinib;Itacitinib	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1|Phase 2
DC01276	Ibrutinib;Lenalidomide	DrugComb	FD00030	Myeloma	Hematologic Malignancy	Phase 1
DC01277	Ibrutinib;Lenalidomide;Rituximab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1|Phase 2
DC01278	Ibrutinib;Nivolumab	DrugComb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 2
DC01278	Ibrutinib;Nivolumab	DrugComb	FD00019	Hematologic Malignancies	Hematologic Malignancy	Phase 1|Phase 2
DC01278	Ibrutinib;Nivolumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC01279	Ibrutinib;Obinutuzumab	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 3
DC01279	Ibrutinib;Obinutuzumab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 3
DC01280	Ibrutinib;Obinutuzumab;Venetoclax	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 3
DC01280	Ibrutinib;Obinutuzumab;Venetoclax	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 2
DC01281	Ibrutinib;Pacritinib	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1|Phase 2
DC01281	Ibrutinib;Pacritinib	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1|Phase 2
DC01282	Ibrutinib;Palbociclib	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 2
DC01283	Ibrutinib;Pembrolizumab;Rituximab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1|Phase 2
DC01284	Ibrutinib;Rituximab	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Approval
DC01284	Ibrutinib;Rituximab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Approval
DC01285	Ibrutinib;Rituximab;Venetoclax	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 2
DC01286	Ibrutinib;Safimaltib	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC01287	Ibrutinib;Temuterkib	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC01287	Ibrutinib;Temuterkib	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC01288	Ibrutinib;Ublituximab	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 3
DC01288	Ibrutinib;Ublituximab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1|Phase 2
DC01289	Ibrutinib;Ublituximab;Umbralisib	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC01289	Ibrutinib;Ublituximab;Umbralisib	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC01290	Ibrutinib;Umbralisib	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC01290	Ibrutinib;Umbralisib	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC01291	Ibrutinib;Venetoclax	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 2
DC01291	Ibrutinib;Venetoclax	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 3
DC01292	Ibrutinib;Vistusertib	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC01293	Idasanutlin;Obinutuzumab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1|Phase 2
DC01294	Idasanutlin;Rituximab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1|Phase 2
DC01295	Idasanutlin;Venetoclax	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1|Phase 2
DC01295	Idasanutlin;Venetoclax	DrugComb	FD00031	Neuroblastoma	Other Cancer	Phase 1|Phase 2
DC01296	Idelalisib;Lenalidomide;Rituximab	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC01296	Idelalisib;Lenalidomide;Rituximab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC01297	Idelalisib;Obinutuzumab	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 3
DC01298	Idelalisib;Obinutuzumab;Tirabrutinib	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC01299	Idelalisib;Ofatumumab	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 3
DC01299	Idelalisib;Ofatumumab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC01300	Idelalisib;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01301	Idelalisib;Rituximab	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Approval
DC01301	Idelalisib;Rituximab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 3
DC01302	Idelalisib;Tirabrutinib	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 2
DC01303	Ieramilimab;Spartalizumab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC01303	Ieramilimab;Spartalizumab	DrugComb	FD00026	Melanoma	Melanoma	Phase 2
DC01303	Ieramilimab;Spartalizumab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 2
DC01304	ILB2109;Toripalimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01305	Imaradenant;Oleclumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01306	Imatinib;Rivoceranib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC01307	Imatinib;Selinexor	DrugComb	FD00040	Soft Tissue Sarcoma	Other Cancer	Phase 1|Phase 2
DC01308	Imatinib;Tipifarnib	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC01309	Imatinib;Vactosertib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC01310	Imiquimod;Zalifrelimab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC01311	INCAGN01949;Ipilimumab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC01312	INCAGN01949;Ipilimumab;Nivolumab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC01313	INCAGN01949;Nivolumab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC01314	INCB081776;Retifanlimab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC01315	INCB106385;Retifanlimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC01316	INCB7839;Rituximab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1|Phase 2
DC01317	Indoximod;Ipilimumab	DrugComb	FD00026	Melanoma	Melanoma	Phase 1|Phase 2
DC01318	Indoximod;Nivolumab	DrugComb	FD00026	Melanoma	Melanoma	Phase 2
DC01319	Indoximod;Pembrolizumab	DrugComb	FD00026	Melanoma	Melanoma	Phase 2
DC01320	Inebilizumab;Rituximab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC01321	Inetetamab;Pyrotinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01322	Inezetamab;Zeluvalimab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC01323	Infliximab;Pembrolizumab	DrugComb	FD00026	Melanoma	Melanoma	Phase 2
DC01324	Inobrodib;Olaparib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01325	Inotuzumab Ozogamicin;Rituximab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1|Phase 2
DC01326	Ipatasertib;Letrozole	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC01327	Ipatasertib;Pertuzumab;Trastuzumab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC01328	Ipilimumab;Izuralimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC01329	Ipilimumab;Lenalidomide	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC01330	Ipilimumab;Linrodostat;Nivolumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01331	Ipilimumab;Nintedanib;Nivolumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01332	Ipilimumab;Nivolumab	DrugComb	FD00006	Bladder Cancer	Bladder Cancer	Phase 1
DC01332	Ipilimumab;Nivolumab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC01332	Ipilimumab;Nivolumab	DrugComb	FD00008	Central Nervous System Tumor	Other Cancer	Phase 2
DC01332	Ipilimumab;Nivolumab	DrugComb	FD00011	Colorectal Cancer	Colorectal Cancer	Approval
DC01332	Ipilimumab;Nivolumab	DrugComb	FD00014	Esophageal Cancer	Esophageal Cancer	Approval
DC01332	Ipilimumab;Nivolumab	DrugComb	FD00017	Glioma	Glioma	Phase 2
DC01332	Ipilimumab;Nivolumab	DrugComb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 2
DC01332	Ipilimumab;Nivolumab	DrugComb	FD00020	Kidney Cancer	Kidney Cancer	Approval
DC01332	Ipilimumab;Nivolumab	DrugComb	FD00022	Liver Cancer	Liver Cancer	Approval
DC01332	Ipilimumab;Nivolumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Approval
DC01332	Ipilimumab;Nivolumab	DrugComb	FD00026	Melanoma	Melanoma	Approval
DC01332	Ipilimumab;Nivolumab	DrugComb	FD00029	Mesothelioma	Other Cancer	Approval
DC01332	Ipilimumab;Nivolumab	DrugComb	FD00030	Myeloma	Hematologic Malignancy	Phase 1|Phase 2
DC01332	Ipilimumab;Nivolumab	DrugComb	FD00032	Neuroendocrine Tumor	Other Cancer	Phase 2
DC01332	Ipilimumab;Nivolumab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 2
DC01332	Ipilimumab;Nivolumab	DrugComb	FD00034	Ovarian Cancer	Ovarian Cancer	Phase 2
DC01332	Ipilimumab;Nivolumab	DrugComb	FD00035	Pancreatic Cancer	Pancreatic Cancer	Phase 2
DC01332	Ipilimumab;Nivolumab	DrugComb	FD00041	Stomach Cancer	Stomach Cancer	Phase 3
DC01333	Ipilimumab;Nivolumab;Nivolumab	DrugComb	FD00020	Kidney Cancer	Kidney Cancer	Phase 2
DC01334	Ipilimumab;Nivolumab;Pexmetinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01335	Ipilimumab;Nivolumab;Ragifilimab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC01336	Ipilimumab;Nivolumab;Renvistobart	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC01337	Ipilimumab;Nivolumab;Rovalpituzumab Tesirine	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01338	Ipilimumab;Nivolumab;Tazemetostat	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC01339	Ipilimumab;Nivolumab;Tilsotolimod	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 2
DC01340	Ipilimumab;Nivolumab;Tocilizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC01341	Ipilimumab;Nivolumab;Zanzalintinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC01341	Ipilimumab;Nivolumab;Zanzalintinib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC01342	Ipilimumab;Osimertinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC01343	Ipilimumab;Pacmilimab	DrugComb	FD00026	Melanoma	Melanoma	Phase 2
DC01344	Ipilimumab;Panobinostat	DrugComb	FD00026	Melanoma	Melanoma	Phase 1
DC01345	Ipilimumab;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 3
DC01345	Ipilimumab;Pembrolizumab	DrugComb	FD00026	Melanoma	Melanoma	Phase 2
DC01346	Ipilimumab;Pepinemab	DrugComb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 1
DC01347	Ipilimumab;Ragifilimab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC01348	Ipilimumab;Relatlimab	DrugComb	FD00026	Melanoma	Melanoma	Phase 1
DC01349	Ipilimumab;Sintilimab	DrugComb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 1
DC01349	Ipilimumab;Sintilimab	DrugComb	FD00022	Liver Cancer	Liver Cancer	Phase 1|Phase 2
DC01349	Ipilimumab;Sintilimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC01349	Ipilimumab;Sintilimab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC01349	Ipilimumab;Sintilimab	DrugComb	FD00041	Stomach Cancer	Stomach Cancer	Phase 1|Phase 2
DC01350	Ipilimumab;Tilsotolimod	DrugComb	FD00026	Melanoma	Melanoma	Phase 2
DC01351	Ipilimumab;Tivumecirnon	DrugComb	FD00026	Melanoma	Melanoma	Phase 2
DC01352	Ipilimumab;Tretinoin	DrugComb	FD00026	Melanoma	Melanoma	Phase 2
DC01353	Ipilimumab;Vemurafenib	DrugComb	FD00026	Melanoma	Melanoma	Phase 1
DC01354	Ipilimumab;Vopratelimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01355	Isatuximab;Pomalidomide	DrugComb	FD00030	Myeloma	Hematologic Malignancy	Approval
DC01356	Isatuximab;Teclistamab	DrugComb	FD00030	Myeloma	Hematologic Malignancy	Phase 1
DC01357	Isotretinoin;Vorinostat	DrugComb	FD00020	Kidney Cancer	Kidney Cancer	Phase 1|Phase 2
DC01357	Isotretinoin;Vorinostat	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC01357	Isotretinoin;Vorinostat	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC01358	Istiratumab;MM151	DrugComb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 1
DC01358	Istiratumab;MM151	DrugComb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 1
DC01358	Istiratumab;MM151	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC01359	Itacitinib;Osimertinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC01360	Itacitinib;Parsaclisib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC01361	Itacitinib;Pembrolizumab	DrugComb	FD00006	Bladder Cancer	Bladder Cancer	Phase 1
DC01361	Itacitinib;Pembrolizumab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
